accession	virus_name	genus	family	source
MH648916.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648922.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648925.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648942.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648946.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648950.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648957.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648958.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648959.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648962.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648966.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648969.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648976.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648977.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648978.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648982.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648983.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648985.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648986.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648989.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH648990.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH648995.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648997.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH648999.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649002.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649006.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649009.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649011.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649014.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649017.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649022.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649023.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649028.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649029.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649037.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649039.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649040.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649042.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649045.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
