accession	virus_name	genus	family	source
MN769836.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769837.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769838.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769840.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769842.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769843.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769849.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769850.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769852.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769853.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769854.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769855.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769857.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769858.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769859.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769860.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769862.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769863.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769864.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769867.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769870.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769872.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769874.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769876.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769881.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769882.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769886.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769887.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769888.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769890.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769891.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769897.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769900.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769901.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769903.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769904.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769905.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769910.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769911.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769914.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769917.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769918.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769921.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769923.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769924.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769925.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769926.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769927.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769928.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769930.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769931.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769939.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769940.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769945.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769949.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769950.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769951.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769954.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769958.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769962.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769966.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769967.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769968.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769969.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769971.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769972.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769973.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769974.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769976.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769977.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769978.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769981.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769983.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769985.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769991.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769993.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769994.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769997.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN769998.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770002.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770005.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770009.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770011.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770015.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770017.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770019.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770024.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770026.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770028.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770030.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770031.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770034.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770036.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770037.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770040.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770044.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770045.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770046.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770049.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770050.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770051.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770053.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770056.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770059.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770060.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770061.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770062.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770063.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770064.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770067.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770069.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770071.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770072.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770075.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770077.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770078.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770080.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770081.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770082.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770086.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770087.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770088.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770091.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770092.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770093.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770094.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770097.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770099.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770101.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770103.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770104.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770105.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770106.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770108.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770109.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770111.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770112.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770114.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770118.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770119.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770121.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770122.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770123.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770124.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770125.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770127.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770128.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770129.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770131.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770132.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770133.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770134.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770136.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770137.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770138.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770140.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770143.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770145.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770146.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770147.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770148.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770149.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770153.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770154.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770160.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770161.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770164.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770168.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770170.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770172.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770174.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770177.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770179.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770181.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770184.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770185.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770187.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770189.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770190.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770191.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770193.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770194.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770196.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770199.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770201.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770202.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770204.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770209.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770213.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770214.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770216.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770217.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770218.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770219.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770220.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770224.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770227.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770228.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770229.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770230.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770231.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770232.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770233.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770234.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770235.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770236.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770238.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770239.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770243.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770244.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770246.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770248.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770249.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770250.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770252.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770259.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770260.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770262.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770264.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770265.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770266.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770267.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770273.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770277.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770279.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770282.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770283.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770285.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770293.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770297.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770301.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770302.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770303.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770305.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770307.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770308.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770312.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770317.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770318.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770320.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770322.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770323.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770324.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770328.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770330.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770331.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770332.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770333.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770334.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770335.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770336.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770337.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770338.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770341.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770342.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770344.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770345.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770346.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770347.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770349.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770350.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770351.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770352.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770353.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770355.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770357.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770359.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770360.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770361.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770362.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770364.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770366.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770367.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770371.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770374.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770375.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770378.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770379.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770382.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770383.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770384.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770386.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770389.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770390.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770392.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770393.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770395.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770396.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770398.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770401.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770403.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770405.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770406.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770407.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770408.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770410.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770411.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770413.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770415.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770416.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770418.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770419.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770420.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770421.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770422.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770425.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770426.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770428.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770429.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770430.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770431.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770432.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770433.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770435.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770436.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770437.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770440.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770446.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770447.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770451.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770452.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770455.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770456.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770457.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770458.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770459.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770463.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770464.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770465.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770466.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770468.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770469.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770470.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770472.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770475.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770476.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770478.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770479.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770480.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770482.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770483.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770484.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770485.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770486.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770489.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770490.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770495.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770497.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770500.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
